Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
282,Jeremy Lamb,SG,28,IND,36,8,21.3,3.3,7.7,0.435,1.4,3.6,0.406,1.9,4.1,0.459,0.529,2,2.1,0.947,0.7,2.9,3.6,1.5,0.9,0.6,0.6,2,10.1
283,Romeo Langford,SG,21,BOS,16,3,14.3,0.8,2.7,0.302,0.3,1,0.25,0.6,1.7,0.333,0.349,0.3,0.3,1,0.7,1.2,1.9,0.6,0.3,0.3,0.5,1.1,2.1
284,Zach LaVine,SG,25,CHI,57,57,35.1,9.8,19.4,0.506,3.5,8.2,0.419,6.4,11.2,0.571,0.595,4.4,5.1,0.849,0.6,4.4,5,4.9,0.8,0.5,3.5,2.4,27.5
285,Jake Layman,SF,26,MIN,44,11,13.9,2,4.1,0.497,0.5,1.7,0.293,1.5,2.4,0.644,0.559,0.6,0.8,0.703,0.3,1.2,1.5,0.6,0.7,0.4,0.6,1,5.1
286,T.J. Leaf,PF,23,POR,6,0,5,0.8,1.5,0.556,0,0,,0.8,1.5,0.556,0.556,0.3,0.3,1,0,0.7,0.7,0.2,0.3,0.2,0.3,0.2,2
287,Jalen Lecque,PG,20,IND,4,0,3,0.3,2.3,0.111,0,0.3,0,0.3,2,0.125,0.111,0.8,0.8,1,0.5,0.8,1.3,0.5,0,0,0,0,1.3
288,Damion Lee,SG,28,GSW,57,1,18.9,2.2,4.8,0.467,1.4,3.4,0.397,0.9,1.4,0.638,0.608,0.7,0.8,0.909,0.4,2.8,3.2,1.3,0.7,0.1,0.5,1.6,6.5
289,Saben Lee,PG,21,DET,46,7,16,2,4.4,0.468,0.2,0.5,0.364,1.9,3.9,0.48,0.488,1.3,1.9,0.685,0.4,1.6,2,3.6,0.7,0.3,1.1,1.6,5.6
290,Alex Len,C,27,TOT,62,40,15.5,2.7,4.4,0.615,0.1,0.4,0.32,2.6,4,0.644,0.629,1.2,1.9,0.629,1.2,2.9,4.1,0.8,0.3,1,0.9,2,6.8
290,Alex Len,C,27,TOR,7,2,10.9,0.7,1.4,0.5,0.4,0.9,0.5,0.3,0.6,0.5,0.65,0.4,0.9,0.5,0,1.6,1.6,0.4,0.1,0.9,1.1,1.4,2.3
290,Alex Len,C,27,WAS,55,38,16.1,3,4.8,0.619,0.1,0.3,0.263,2.9,4.5,0.646,0.628,1.3,2,0.636,1.4,3,4.4,0.8,0.3,1,0.9,2.1,7.3
291,Kawhi Leonard,SF,29,LAC,51,51,34.1,9,17.6,0.512,1.9,4.9,0.396,7.1,12.7,0.556,0.567,5,5.7,0.886,1.1,5.5,6.5,5.1,1.6,0.4,2,1.6,25
292,Meyers Leonard,C,28,MIA,3,2,9.7,1,2.3,0.429,1,2.3,0.429,0,0,,0.643,0.3,0.7,0.5,0,2.3,2.3,0.7,0,0,0.7,1.7,3.3
293,Caris LeVert,SG,26,TOT,45,37,31.7,7.6,17.4,0.439,1.8,5.5,0.328,5.8,11.9,0.491,0.491,3.1,3.8,0.802,0.7,3.9,4.6,5,1.4,0.6,2.1,2.2,20.2
293,Caris LeVert,SG,26,BRK,12,4,27.8,7.3,16.7,0.435,1.8,5.3,0.349,5.4,11.4,0.474,0.49,2.2,2.8,0.765,0.8,3.5,4.3,6,1.1,0.5,2.2,1.7,18.5
293,Caris LeVert,SG,26,IND,33,33,33.1,7.8,17.7,0.441,1.8,5.6,0.321,6,12.1,0.496,0.491,3.4,4.2,0.812,0.7,4.1,4.7,4.7,1.5,0.7,2.1,2.5,20.8
294,Kira Lewis Jr.,PG,19,NOP,52,0,16.3,2.4,6.2,0.385,0.8,2.3,0.333,1.6,3.9,0.415,0.446,0.7,0.9,0.822,0.2,1,1.2,2.3,0.7,0.2,0.6,1.6,6.2
295,Damian Lillard,PG,30,POR,65,65,35.8,8.9,20,0.446,4.1,10.6,0.389,4.8,9.4,0.511,0.549,6.8,7.3,0.928,0.5,3.7,4.2,7.5,0.9,0.3,3,1.5,28.7
296,Nassir Little,PF,20,POR,47,2,13.5,1.6,3.5,0.461,0.6,1.7,0.35,1,1.8,0.565,0.545,0.8,1,0.8,0.7,2,2.7,0.5,0.1,0.3,0.4,1.1,4.6
297,Kevon Looney,C,24,GSW,59,32,18.8,1.7,3.2,0.548,0.1,0.3,0.235,1.7,2.9,0.579,0.559,0.5,0.7,0.636,1.9,3.3,5.1,1.9,0.4,0.4,0.6,2.2,4
298,Brook Lopez,C,32,MIL,68,68,27.1,4.5,9,0.494,1.4,4.1,0.339,3.1,4.9,0.624,0.572,1.7,2,0.848,1.5,3.4,4.9,0.7,0.6,1.5,0.9,2.1,12.1
299,Robin Lopez,C,32,WAS,69,9,19,3.7,5.8,0.628,0.1,0.3,0.278,3.6,5.6,0.644,0.634,1.4,2,0.723,2,1.8,3.8,0.8,0.2,0.6,1,1.5,8.8
300,Didi Louzada,G,21,NOP,1,0,15,1,5,0.2,0,2,0,1,3,0.333,0.2,0,0,,0,1,1,0,0,0,0,2,2
301,Kevin Love,PF,32,CLE,25,25,24.9,4.1,10.1,0.409,2.3,6.2,0.365,1.8,3.8,0.479,0.522,1.7,2,0.824,0.7,6.8,7.4,2.5,0.6,0.1,1.5,1,12.2
302,Kyle Lowry,PG,34,TOR,46,46,34.8,5.7,13,0.436,2.8,7.2,0.396,2.8,5.8,0.487,0.546,3,3.5,0.875,0.8,4.6,5.4,7.3,1,0.3,2.7,3.1,17.2
303,Timothé Luwawu-Cabarrot,SF,25,BRK,56,7,18.6,2.3,6.3,0.36,1.3,4.3,0.311,0.9,2.1,0.461,0.465,0.6,0.8,0.814,0.5,1.8,2.3,1.2,0.6,0.1,0.8,1.8,6.5
304,Trey Lyles,PF,25,SAS,23,9,15.6,1.9,3.9,0.478,0.6,1.7,0.35,1.3,2.2,0.58,0.556,0.7,1,0.652,0.4,3.3,3.7,0.6,0.3,0,0.3,0.6,5
305,Will Magnay,C,22,NOP,1,0,3,0,1,0,0,1,0,0,0,,0,0,0,,0,0,0,0,0,0,1,1,0
306,Thon Maker,C,23,CLE,8,0,9.5,1.3,2.3,0.556,0,0.3,0,1.3,2,0.625,0.556,1.3,1.4,0.909,1,1.3,2.3,0.5,0.3,0.5,0.4,0.9,3.8
307,Théo Maledon,PG,19,OKC,63,47,27.5,3.5,9.4,0.366,1.6,4.8,0.336,1.8,4.6,0.399,0.452,1.6,2.1,0.744,0.4,2.9,3.3,3.5,0.9,0.2,2.2,2,10.1
308,Karim Mané,PG,20,ORL,10,0,8.8,0.3,1.3,0.231,0.1,0.2,0.5,0.2,1.1,0.182,0.269,0.4,0.5,0.8,0.1,1.3,1.4,0.4,0,0.2,0.3,1,1.1
309,Terance Mann,SG,24,LAC,65,10,19,2.6,5.2,0.5,0.6,1.4,0.416,2,3.9,0.53,0.554,1.1,1.4,0.831,0.9,2.8,3.6,1.6,0.4,0.2,0.6,1.9,6.9
310,Nico Mannion,PG,19,GSW,29,1,11.4,1.2,3.5,0.353,0.7,1.9,0.37,0.6,1.7,0.333,0.451,0.7,0.9,0.8,0.1,1.2,1.3,2.2,0.6,0,1,1,3.9
311,Boban Marjanović,C,32,DAL,32,3,8.3,1.9,3.8,0.508,0,0.3,0.125,1.9,3.6,0.535,0.512,0.9,1.1,0.824,1.5,2.5,4,0.3,0.1,0.2,0.3,0.9,4.8
312,Lauri Markkanen,PF,23,CHI,48,25,25.8,4.8,10.2,0.473,2.2,5.8,0.388,2.6,4.5,0.584,0.583,1.5,1.8,0.83,0.7,4.6,5.3,0.9,0.5,0.3,1,1.5,13.4
313,Naji Marshall,SF,23,NOP,30,8,20.9,2.3,6,0.381,0.8,2.5,0.324,1.5,3.6,0.421,0.448,1.5,2.2,0.687,0.5,3.8,4.3,2.6,0.8,0.3,1,1.8,6.9
314,Caleb Martin,SF,25,CHO,52,3,15.4,1.8,4.8,0.369,0.6,2.3,0.246,1.2,2.4,0.488,0.43,0.8,1.2,0.641,0.6,2.1,2.7,1.3,0.7,0.2,0.6,1.2,4.9
